instrument_name,instrument_id,date
SUNPHARMA,57,04-09-2019
ICICIBANK,243,05-09-2019
ICICIPRULI,240,05-09-2019
IBULHSGFIN,244,06-09-2019
TECHM,36,06-09-2019
TVSMOTOR,25,09-09-2019
UJJIVAN,21,09-09-2019
IOC,222,11-09-2019
TATAMOTORS,44,11-09-2019
APOLLOHOSP,390,12-09-2019
RECLTD,92,13-09-2019
STAR,63,13-09-2019
BPCL,347,16-09-2019
HINDPETRO,249,16-09-2019
IBULHSGFIN,244,17-09-2019
BPCL,347,18-09-2019
CESC,333,18-09-2019
HDFCBANK,257,19-09-2019
HINDPETRO,249,19-09-2019
AMARAJABAT,395,20-09-2019
CESC,333,20-09-2019
CONCOR,325,23-09-2019
PETRONET,119,23-09-2019
AUROPHARMA,379,24-09-2019
EXIDEIND,298,24-09-2019
ZEEL,2,25-09-2019
CUMMINSIND,318,26-09-2019
JUBLFOOD,199,26-09-2019
JUBLFOOD,199,27-09-2019
TVSMOTOR,25,27-09-2019
CIPLA,329,30-09-2019
IBULHSGFIN,244,30-09-2019
BPCL,347,01-10-2019
CONCOR,325,01-10-2019
PEL,120,03-10-2019
STAR,63,03-10-2019
BPCL,347,04-10-2019
RBLBANK,94,04-10-2019
MANAPPURAM,168,07-10-2019
ZEEL,2,07-10-2019
AUROPHARMA,379,09-10-2019
TITAN,33,09-10-2019
GRASIM,271,10-10-2019
IBULHSGFIN,244,10-10-2019
CENTURYTEX,334,11-10-2019
TCS,38,11-10-2019
DLF,308,14-10-2019
INFY,224,14-10-2019
IBULHSGFIN,244,15-10-2019
PEL,120,15-10-2019
ACC,405,16-10-2019
BPCL,347,16-10-2019
EXIDEIND,298,17-10-2019
IBULHSGFIN,244,17-10-2019
ADANIENT,403,18-10-2019
ZEEL,2,18-10-2019
INFY,224,22-10-2019
PEL,120,22-10-2019
MUTHOOTFIN,146,23-10-2019
RBLBANK,94,23-10-2019
BIOCON,351,24-10-2019
HCLTECH,260,24-10-2019
INDIGO,228,25-10-2019
ITC,216,25-10-2019
INDIGO,228,29-10-2019
TATAMOTORS,44,29-10-2019
INDIGO,228,30-10-2019
TORNTPOWER,29,30-10-2019
DLF,308,31-10-2019
LICHSGFIN,179,31-10-2019
BERGEPAINT,355,01-11-2019
IOC,222,01-11-2019
BERGEPAINT,355,04-11-2019
ZEEL,2,04-11-2019
DABUR,316,05-11-2019
RBLBANK,94,05-11-2019
TITAN,33,06-11-2019
TORNTPOWER,29,06-11-2019
MFSL,160,07-11-2019
PEL,120,07-11-2019
IGL,236,08-11-2019
TORNTPHARM,30,08-11-2019
AMARAJABAT,395,11-11-2019
CANBK,343,11-11-2019
COALINDIA,328,13-11-2019
SUNTV,55,13-11-2019
AUROPHARMA,379,14-11-2019
MUTHOOTFIN,146,14-11-2019
GLENMARK,282,15-11-2019
INFRATEL,225,15-11-2019
GLENMARK,282,18-11-2019
BHARTIARTL,353,19-11-2019
GLENMARK,282,19-11-2019
INFRATEL,225,20-11-2019
RELIANCE,90,20-11-2019
CONCOR,325,21-11-2019
ZEEL,2,21-11-2019
IBULHSGFIN,244,22-11-2019
IGL,236,22-11-2019
RBLBANK,94,25-11-2019
IBULHSGFIN,244,26-11-2019
INFRATEL,225,26-11-2019
MOTHERSUMI,151,27-11-2019
ZEEL,2,27-11-2019
IBULHSGFIN,244,28-11-2019
IBULHSGFIN,244,29-11-2019
INFRATEL,225,29-11-2019
BHARTIARTL,353,02-12-2019
INFRATEL,225,02-12-2019
BIOCON,351,03-12-2019
BHARATFORG,354,04-12-2019
JINDALSTEL,209,04-12-2019
HCLTECH,260,05-12-2019
INDIGO,228,05-12-2019
APOLLOTYRE,389,06-12-2019
INFY,224,09-12-2019
RELIANCE,90,09-12-2019
INFRATEL,225,10-12-2019
RBLBANK,94,10-12-2019
IBULHSGFIN,244,11-12-2019
TATASTEEL,41,12-12-2019
UBL,23,13-12-2019
VEDL,16,13-12-2019
SUNPHARMA,57,16-12-2019
SRTRANSFIN,64,17-12-2019
RELIANCE,90,18-12-2019
SBIN,80,18-12-2019
TATAELXSI,46,19-12-2019
SRTRANSFIN,64,20-12-2019
RELIANCE,90,23-12-2019
GLENMARK,282,24-12-2019
UBL,23,24-12-2019
GLENMARK,282,26-12-2019
PEL,120,27-12-2019
SBIN,80,27-12-2019
RELIANCE,90,30-12-2019
SBIN,80,30-12-2019
BALKRISIND,369,31-12-2019
OIL,125,03-01-2020
ONGC,124,03-01-2020
CHOLAFIN,330,06-01-2020
CIPLA,329,06-01-2020
CANBK,343,07-01-2020
RBLBANK,94,08-01-2020
MFSL,160,10-01-2020
SBIN,80,10-01-2020
INDUSINDBK,226,14-01-2020
INDIGO,228,16-01-2020
GRASIM,271,17-01-2020
INFRATEL,225,17-01-2020
NMDC,130,20-01-2020
POWERGRID,106,20-01-2020
JUSTDIAL,197,21-01-2020
CANBK,343,22-01-2020
HAVELLS,261,22-01-2020
CIPLA,329,23-01-2020
RBLBANK,94,23-01-2020
CHOLAFIN,330,24-01-2020
IBULHSGFIN,244,24-01-2020
BRITANNIA,346,27-01-2020
IBULHSGFIN,244,27-01-2020
MCDOWELL-N,164,28-01-2020
TORNTPHARM,30,28-01-2020
CUMMINSIND,318,29-01-2020
PIDILITIND,112,30-01-2020
KOTAKBANK,187,31-01-2020
OIL,125,31-01-2020
MFSL,160,03-02-2020
TCS,38,03-02-2020
MANAPPURAM,168,04-02-2020
SRTRANSFIN,64,04-02-2020
MFSL,160,05-02-2020
ZEEL,2,05-02-2020
CIPLA,329,06-02-2020
